,Annee,Mois,Jour,Date,Co2
0,1974,5,26,1974.3986,332.95
1,1974,6,2,1974.4178,332.32
2,1974,6,9,1974.4370000000001,332.18
3,1974,6,16,1974.4562,332.37
4,1974,6,23,1974.4753,331.59
5,1974,6,30,1974.4945,331.68
6,1974,7,7,1974.5137,331.44
7,1974,7,14,1974.5329,330.85
8,1974,7,21,1974.5521,330.76
9,1974,7,28,1974.5712,329.8
10,1974,8,4,1974.5904,329.85
11,1974,8,11,1974.6096,329.05
12,1974,8,18,1974.6288,329.06
13,1974,8,25,1974.6479,328.33
14,1974,9,1,1974.6671,328.05
15,1974,9,8,1974.6863,327.57
16,1974,9,15,1974.7055,326.73
17,1974,9,22,1974.7247,326.96
18,1974,9,29,1974.7438,327.31
19,1974,10,6,1974.763,327.07
20,1974,10,13,1974.7822,327.23
21,1974,10,20,1974.8014,327.4
22,1974,10,27,1974.8205,327.64
23,1974,11,3,1974.8397,327.8
24,1974,11,10,1974.8589,328.5
25,1974,11,17,1974.8781,328.56
26,1974,11,24,1974.8973,328.46
27,1974,12,1,1974.9164,328.76
28,1974,12,8,1974.9356,329.39
29,1974,12,15,1974.9548,329.77
30,1974,12,22,1974.974,329.96
31,1974,12,29,1974.9932,330.38
32,1975,1,5,1975.0123,330.43
33,1975,1,12,1975.0315,330.59
34,1975,1,19,1975.0507,330.8
35,1975,1,26,1975.0699,331.22
36,1975,2,2,1975.089,331.64
37,1975,2,9,1975.1082,331.12
38,1975,2,16,1975.1274,331.41
39,1975,2,23,1975.1466,331.96
40,1975,3,2,1975.1658,331.73
41,1975,3,9,1975.1849,331.61
42,1975,3,16,1975.2041,332.11
43,1975,3,23,1975.2233,331.86
44,1975,3,30,1975.2425,333.3
45,1975,4,6,1975.2616,332.79
46,1975,4,13,1975.2808,333.31
47,1975,4,20,1975.3,333.39
48,1975,4,27,1975.3192,333.49
49,1975,5,4,1975.3384,333.94
50,1975,5,11,1975.3575,334.25
51,1975,5,18,1975.3767,333.45
52,1975,5,25,1975.3959,334.0
53,1975,6,1,1975.4151,333.96
54,1975,6,8,1975.4342,333.32
55,1975,6,15,1975.4534,333.22
56,1975,6,22,1975.4726,333.47
57,1975,6,29,1975.4918,333.01
58,1975,7,6,1975.511,332.32
59,1975,7,13,1975.5301,331.83
60,1975,7,20,1975.5493,331.36
61,1975,7,27,1975.5685,331.21
62,1975,8,3,1975.5877,331.01
63,1975,8,10,1975.6068,330.38
64,1975,8,17,1975.626,329.48
65,1975,8,24,1975.6452,328.73
66,1975,8,31,1975.6644,329.24
67,1975,9,7,1975.6836,329.42
68,1975,9,14,1975.7027,327.95
69,1975,9,21,1975.7219,327.96
70,1975,9,28,1975.7411,327.97
71,1975,10,5,1975.7603,-999.99
72,1975,10,12,1975.7795,328.35
73,1975,10,19,1975.7986,328.63
74,1975,10,26,1975.8178,328.8
75,1975,11,2,1975.8370000000002,329.03
76,1975,11,9,1975.8562,329.01
77,1975,11,16,1975.8753,329.25
78,1975,11,23,1975.8945,330.18
79,1975,11,30,1975.9137,329.72
80,1975,12,7,1975.9329,-999.99
81,1975,12,14,1975.9521,-999.99
82,1975,12,21,1975.9712,-999.99
83,1975,12,28,1975.9904,-999.99
84,1976,1,4,1976.0096,331.33
85,1976,1,11,1976.0287,331.62
86,1976,1,18,1976.0478,331.66
87,1976,1,25,1976.0669,331.87
88,1976,2,1,1976.0861,332.45
89,1976,2,8,1976.1052,332.51
90,1976,2,15,1976.1243,332.64
91,1976,2,22,1976.1434,333.49
